Adj Strategy,Grade,life_phase,n_obs,n_rep_gate,n_rep_pos,n_draw_pos,rep_p_mult,rep_ratio_mult,draw_p_mult,draw_ratio_mult,omega_bump,nav_floor_ratio,p_value_rep_prob,p_value_rep_ratio,p_value_draw_prob,p_value_draw_ratio,p_value_omega
Other Private Debt,D,final,3,3,0,0,1.0,1.0,1.0,1.0,0.0,0.026525237297297298,0.0009483897573820954,1.0,0.3707610216058448,1.0,1.0
Other Private Debt,D,late,6,4,4,0,1.0,1.0,1.0,1.0,0.0,0.026525237297297298,0.3223380680294503,1.0,0.20701307815349024,1.0,1.0
Other Private Debt,D,mid,24,23,20,3,1.0,1.0,1.0,1.0,0.0,0.0,0.4496075697130537,0.002068141152657525,0.32956404875593615,1.0,1.3998632530545466e-05
Other Private Debt,D,post_0_4,1,1,0,0,1.0,1.0,1.0,1.0,0.0,0.026525237297297298,0.04828364281091568,1.0,0.6045341630372221,1.0,1.0
Other Private Debt,D,post_12p,48,27,5,0,1.0,1.0,1.0,1.0,0.0,0.7112196319319608,,,,,
Other Private Debt,D,post_5_8,98,85,6,1,1.0,1.0,1.0,1.0,0.0,0.5362648431280983,,,,,
Other Private Debt,D,post_9_12,52,40,3,2,1.0,1.0,1.0,1.0,0.0,0.5560568009248902,,,,,
Private Equity,A,far,1864,1593,414,1016,1.0,0.9156837610080377,1.1389941978177274,1.0,0.032293211481115254,0.0,0.36113539222348745,0.0007115366303141168,4.408031717417771e-09,0.12526996413751673,1.6160722364659164e-07
Private Equity,A,final,29,24,4,0,1.0,1.0,1.0,1.0,0.0,0.21190472838004898,0.243183328920908,1.0,9.890329384365515e-07,1.0,0.06326804030953921
Private Equity,A,late,91,76,16,3,1.0,1.0415028298249598,0.905271924879768,1.0,-0.013183862808361084,0.19171440127495598,0.2265481998051846,0.00028475401295655224,1.7763568394002505e-15,1.0,3.6213001127459094e-07
Private Equity,A,mid,390,390,143,86,1.111988891942319,1.0529320542395442,0.8311951024753793,0.915430129189501,-0.04855336767452056,0.0,0.00018070803837555438,0.010317538077907352,0.0,3.979101562802996e-100,4.599606922738313e-29
Private Equity,A,post_0_4,30,25,2,0,0.9785677776039222,1.0,0.963855421686747,1.0,-0.004370056549454127,0.20441265144828316,0.030655464843891478,1.0,6.4696301849132e-07,1.0,0.0024138542781603285
Private Equity,A,post_12p,1,0,0,0,1.0,1.0,1.0,1.0,0.0,0.21190472838004898,1.0,1.0,0.36121164711423237,1.0,1.0
Private Equity,A,post_5_8,16,12,1,0,1.0,1.0,1.0,1.0,0.0,0.21190472838004898,0.1404347746742114,1.0,0.0002695433313881779,1.0,0.28388410515330004
Private Equity,A,post_9_12,9,6,1,0,1.0,1.0,1.0,1.0,0.0,0.21190472838004898,0.5582831438668263,1.0,0.006229688379996601,1.0,1.0
Private Equity,B,far,4305,3594,702,2237,0.9353129496292992,0.9417666311653246,1.0565796837834056,1.0490258872492593,0.02343287261672303,0.0,0.06693117567928075,0.02293049733288574,0.0017198666944400198,0.06673303257434396,1.0113632315080866e-05
Private Equity,B,final,8,4,0,0,1.0,1.0,1.0,1.0,0.0,0.46918001352669014,0.29947975229944124,1.0,0.005896716465130236,1.0,1.0
Private Equity,B,late,45,37,14,6,1.034655569186853,1.034493916878031,0.9613271344040575,1.0,-0.01039254465719917,0.4463764012678723,0.013998848854481771,0.0009049237514800417,2.29659461514764e-06,1.0,3.410062005618099e-06
Private Equity,B,mid,583,576,177,165,1.1878731270485408,1.0616432990729276,0.8234557380435905,0.8559000025356212,-0.06303296665420097,0.0,2.696884009445455e-07,0.002748317125977535,0.0,1.7853409418410472e-148,2.3332246424507988e-48
Private Equity,B,post_0_4,4,4,1,0,1.0,1.0,1.0,1.0,0.0,0.46918001352669014,0.8529738621774197,1.0,0.05144581281558391,1.0,1.0
Private Equity,B,post_12p,24,6,1,0,1.0,1.0,1.0,1.0,0.0,0.436233200935981,,,,,
Private Equity,B,post_5_8,40,35,3,1,1.0,1.0,1.0,1.0,0.0,0.3390480896695244,,,,,
Private Equity,B,post_9_12,25,14,2,1,1.0,1.0,1.0,1.0,0.0,0.3475243137554894,,,,,
Private Equity,C,far,2446,1937,332,1221,1.0,1.0,1.0649049040915954,1.0574311080420242,0.026435474141375655,0.0,0.11222536616717482,0.1737618305736934,0.0037010356863538263,0.06994147670647881,1.0862925150531459e-05
Private Equity,C,final,16,16,2,0,1.0,1.0,1.0,1.0,0.0,0.5938284945000001,0.5083453491558709,1.0,0.00023281834240762578,1.0,0.14112895669312056
Private Equity,C,late,38,36,9,4,1.0,1.0124613566025864,0.9650397335361536,1.0,-0.009155866046350821,0.5763313027976665,0.3633968453412275,0.03029148988687159,1.3100468751359173e-05,1.0,2.786442096098208e-06
Private Equity,C,mid,422,422,119,140,1.1671207081639476,1.0,0.9039405766083344,0.8830407620771042,-0.04688541317804696,0.0,1.4703593567366724e-05,0.22913170713565423,7.562563777430142e-07,4.053820433219499e-62,2.2877166405286027e-33
Private Equity,C,post_0_4,15,15,1,0,1.0,1.0,1.0,1.0,0.0,0.5938284945000001,0.22400515941714838,1.0,0.0003651237693422793,1.0,0.9414227860075906
Private Equity,C,post_12p,13,5,1,0,1.0,1.0,1.0,1.0,0.0,0.5938284945000001,0.9547266831097105,1.0,0.0009036542144615911,1.0,1.0
