quarter_end,sim_draw_mean,sim_rep_mean,sim_nav_mean,sim_rc_mean,sim_draw_p10,sim_draw_p50,sim_draw_p90,sim_rep_p10,sim_rep_p50,sim_rep_p90,sim_nav_p10,sim_nav_p50,sim_nav_p90,sim_rc_p10,sim_rc_p50,sim_rc_p90,sim_dpi_p05,sim_dpi_p50,sim_dpi_p95
2037-03-31,2914296.6862376384,239412331.57480204,3416586508.888509,14461604.523885714,0.0,733043.3700071608,7537326.048542205,45590111.474530235,176621769.9087192,507922404.0439653,2387925331.282496,3340830844.107028,4564427294.624844,0.0,13105.786044161476,26261632.04941149,0.987946477216515,1.2167501684741988,1.5067218172767296
2037-06-30,2838638.1307947626,224694096.76273614,3226910103.383467,15289683.647805255,0.0,1027290.3470709443,7630834.038827856,47563212.06548201,173872310.39298362,482811456.84678954,2224386825.705849,3145842057.40351,4305699484.863795,0.0,38433.43893347596,25649322.881462544,1.0223043257246434,1.252512048889777,1.5525813069283536
2037-09-30,3630738.732090855,219292344.71087873,3050832571.4352913,10823301.963339,0.0,1271766.7970808824,9799897.87310458,38279811.34974145,166884198.63148326,475333113.6563187,2076059160.112602,2967155382.9281397,4124065241.3971176,0.0,1181.188860723822,21504566.459711865,1.0582397084320805,1.2912835750491944,1.591376224683691
2037-12-31,3406827.642788148,192639280.48363113,2891157341.061871,9420899.552329736,0.0,962493.4615508583,9045950.6898787,40390068.24070066,143230960.41480374,401720366.629349,1956265377.3782527,2824614020.042339,3935677822.094747,0.0,12930.582707830989,17371724.233790804,1.0928738835647187,1.3262850307690894,1.6347278602950197
2038-03-31,3442475.980691463,181048376.44227403,2763388563.199079,9612559.949421305,0.0,1417098.360771285,8897019.3024687,30305714.437831502,126334195.73279625,402213855.5709954,1839232054.631826,2684865270.3738155,3839724115.683455,0.0,2112.486551887712,15299861.74693386,1.1172893236095307,1.3544279907713355,1.6774355293805894
2038-06-30,3430402.4094196404,173834811.80605012,2626184266.397916,9537301.899823505,0.0,1201765.52870228,9339627.672105644,29450960.509618226,132686480.43439963,362726644.1991258,1719110419.1141856,2550001554.410379,3601533868.2983985,0.0,1485.5042603370134,14110069.272350287,1.1452676839976133,1.3840611160299061,1.7031298820426632
2038-09-30,3855514.8519188003,161033552.03600934,2498847560.454469,9909828.378692543,0.0,949435.4457188556,9532617.507334778,25456089.980968226,120992881.99476118,351222051.48728085,1591137938.5417821,2392126894.950716,3516301197.819479,0.0,219.63654984733017,14605965.642095001,1.1690344803963995,1.412365342309319,1.7350179086644888
2038-12-31,3418215.701168543,158773106.31190994,2377986067.4273167,7002527.599286914,0.0,1302423.010837696,9024209.646636372,22121726.703359116,103618393.895904,351014934.5944428,1510480465.0914738,2282249451.042429,3369962883.621135,0.0,0.0,9198755.57971019,1.1992813953832522,1.4378460587534634,1.7701171686350128
2039-03-31,3906514.7725650794,146236267.67076424,2267799520.162074,12813588.019155096,0.0,1343558.8614252135,10866240.27310691,19684042.228242587,96714237.32512428,318475779.9363849,1432855787.7287357,2167667785.4546585,3197457932.1808825,0.0,2863.352086670885,13951332.443832818,1.2188971871465788,1.4601404310216726,1.798688213390704
2039-06-30,3046372.290722421,131593720.4039723,2122040085.1032531,6824072.536124902,0.0,586113.6891300725,9804947.233422711,19931963.39946355,89296935.41606233,272048615.74290067,1304930338.5041244,2014836545.2422767,3067854825.707665,0.0,7.191407527945838,10440804.662510648,1.2405847610408656,1.478800782544359,1.8276469430229565
