scenario,strategy,grade,age_bucket,n_funds,draw_rmse,draw_mae,draw_bias,draw_cov_90,rep_rmse,rep_mae,rep_bias,rep_cov_90,nav_rmse,nav_mae,nav_bias,nav_cov_90
neutral,Venture Capital,C,0-2y,21,17681056.89486231,13352620.769633736,-2400171.7708245814,0.16666666666666666,11042231.217569916,7922128.343241011,4070819.028414276,0.6666666666666666,265742577.18271154,233613291.17289522,-233613291.17289522,0.03333333333333333
neutral,Venture Capital,C,10-15y,4,3788857.123311051,701382.9819172707,682224.0541466712,0.9,4070713.2023801506,3078089.559741947,159111.120667628,0.3333333333333333,14945598.006077206,13033712.596442647,-9167266.338820674,0.5666666666666667
neutral,Venture Capital,C,2-4y,12,12870025.41607563,7091090.7009229455,-164805.37387001739,0.1,17412101.495109268,11448128.54041879,726796.707257144,0.5,166700271.02552783,134151809.1859609,-130510713.99072997,0.23333333333333334
neutral,Venture Capital,C,4-6y,9,11627554.71290866,4129921.5193999624,-17085.696921477826,0.1,36153260.985390864,19177623.340654153,-14967409.633555563,0.36666666666666664,247825566.72838068,202819483.74323088,-199181266.40303668,0.1
neutral,Venture Capital,C,6-8y,4,6537528.6269364385,1766548.8526001868,593680.9988486812,0.1,3558437.116944814,2397104.4726919513,-164563.76895667522,0.4,16409578.73999034,14406417.98652252,-6232150.438344164,0.4
neutral,Venture Capital,C,8-10y,1,40405.41450706007,16600.071764318414,-8968.387289495407,0.8,234073.94013522947,105490.24266905736,37190.53931620705,0.6333333333333333,1039487.368186753,539404.3890331356,-539404.3890331356,0.4666666666666667
neutral,Venture Capital,D,0-2y,7,5090836.03770561,3677480.497933161,-874446.7204379126,0.23333333333333334,3172200.5251683663,1677840.7633154069,1488378.8497417916,0.8666666666666667,45363527.16975653,37181182.242716536,-35579073.852323204,0.2
neutral,Venture Capital,D,10-15y,1,69525.38486538593,12693.540536666716,12693.540536666716,0.9666666666666667,190934.50596328473,101001.03586800325,73308.6472813366,0.7,306689.34375585406,246910.74081213094,-246910.74081213094,0.03333333333333333
neutral,Venture Capital,D,6-8y,3,4210948.421341341,1160587.7657498706,362002.97425012937,0.2,2494986.2720698994,1676483.7605520585,935712.0304717391,0.26666666666666666,31005399.3077715,26564209.758075383,-21917840.74315054,0.23333333333333334
neutral,Venture Capital,D,8-10y,1,136790.79746206405,38932.07866666667,9067.921333333337,0.8,286157.60896651226,129552.99193250733,117173.82326584068,0.7666666666666667,1651682.7229472392,1505765.0816683506,-1497728.0373816676,0.06666666666666667
