scenario,strategy,grade,age_bucket,n_funds,draw_rmse,draw_mae,draw_bias,draw_cov_90,rep_rmse,rep_mae,rep_bias,rep_cov_90,nav_rmse,nav_mae,nav_bias,nav_cov_90
conditional,Special Structure/ FoF,C,10-15y,2,3013500.0689888685,1670390.0105461057,1485779.7271496651,0.5,7606486.234748609,3557096.4653994525,-2796939.9997761296,0.6333333333333333,41180324.42799478,34225310.793412104,-32813355.59366622,0.1
conditional,Special Structure/ FoF,C,8-10y,1,359337.66208630515,159059.94699717854,-60641.556350082654,0.8333333333333334,722486.4209877062,473360.0638498563,-113001.13489020786,0.5333333333333333,3845510.2795977457,3423239.334425739,-2918499.4093528544,0.26666666666666666
conditional,Special Structure/ FoF,C,nan,1,2679473.926693474,1590022.5595900165,548388.4522548951,0.5333333333333333,1994491.0618026487,776051.199090326,710219.8017569926,0.9333333333333333,19943122.127551388,16475376.638420587,9765816.342622397,0.4666666666666667
conditional,TTA,A,4-6y,2,661860.9640820718,402455.6251078792,-89243.68486886934,0.6,5517267.610772895,2299498.5793171595,-1761877.5058638833,0.7,75298243.80073291,68671919.29480866,-68671919.29480866,0.0
conditional,TTA,B,2-4y,3,2154337.523204026,1702574.5208926753,-192703.86196822213,0.6,2086397.8064219751,1241002.6858352935,314705.0818449308,0.8,28794756.75951434,24361487.81881966,-23756518.38647221,0.23333333333333334
conditional,TTA,B,6-8y,1,712802.5019485325,386605.8421430426,-74945.5907005988,0.4,3097079.106109657,1308848.3851866275,807054.6993519694,0.6,19647132.399876624,18277371.07814695,-14021452.731157351,0.13333333333333333
conditional,TTA,B,nan,1,2605687.190097901,1849308.728389964,-74496.49368566072,0.6,645945.8872443711,238975.97571038862,238975.97571038862,1.0,16022179.438976848,13669600.585241916,-6663946.746033647,0.4666666666666667
conditional,TTA,C,0-2y,5,2700085.6904253303,1961987.1117191347,-255988.50951148852,0.7,3207407.935536715,1441918.4033521987,-543271.2189548936,0.7666666666666667,67663536.45717385,51924214.51197807,-50767085.939915225,0.3333333333333333
conditional,TTA,C,10-15y,1,0.0,0.0,0.0,1.0,73619.8366748231,37308.062183071874,19042.000183071872,0.9666666666666667,4930291.612767077,4370162.426739577,-4370162.426739577,0.0
conditional,TTA,C,2-4y,2,806693.3738432179,583231.9143650035,-155079.71931958155,0.5333333333333333,778320.2003013481,374780.8077047748,158874.83970477481,0.9,8914630.785506869,7223313.831302343,-5808842.86282374,0.36666666666666664
conditional,TTA,C,4-6y,3,644179.6047763892,511643.5973152391,-13050.863931801337,0.5333333333333333,435698.57224518055,226761.59964169812,94856.18357969812,0.7666666666666667,13091929.911095971,11828490.914587181,-11628504.711831039,0.16666666666666666
conditional,TTA,C,6-8y,3,511602.5244260469,363798.5092389842,44202.54659451932,0.6,1007125.2011643042,586023.7144316025,348246.65007817006,0.7333333333333333,22146023.244360868,19522659.23950706,-19522659.23950706,0.0
conditional,TTA,C,nan,2,2055263.3223201567,1456728.6760851354,-675829.724559847,0.5333333333333333,354916.273148334,152484.43000991922,103716.29867658588,0.9333333333333333,21820491.26702937,17248524.753249954,-12986356.567729807,0.23333333333333334
conditional,TTA,D,8-10y,2,784149.6687665869,492496.542730153,470905.0224526116,0.6333333333333333,1021072.9653847236,497748.4910193611,-347737.43800427445,0.7,6568719.6897376655,5391639.167737016,-3492182.5533721293,0.23333333333333334
conditional,Venture Capital,A,0-2y,11,11167971.85928826,7232659.689924485,-2426697.832712966,0.7333333333333333,17007859.213295836,12195310.037687484,5596972.2492123665,0.6666666666666666,333485139.4456688,286014756.1284129,-285445487.9635477,0.2
conditional,Venture Capital,A,10-15y,3,1155739.0588869657,646549.8483195358,646549.8483195358,0.8333333333333334,1455333.2356260123,1002605.570972046,508577.8828979979,0.8333333333333334,5195513.72407775,4656679.465590068,-2401874.883029603,0.9333333333333333
conditional,Venture Capital,A,2-4y,17,13955697.907813253,9139566.566784488,-5063849.918518982,0.7,47591139.248954594,38164849.06081505,17649198.289478,0.5666666666666667,692977742.9955392,627818145.5791056,-627818145.5791056,0.0
conditional,Venture Capital,A,4-6y,11,1433170.1399322567,1013719.3675891085,11778.766901080837,0.7333333333333333,39313206.97362205,29560292.34212649,-6482769.587331281,0.6333333333333333,500244638.0351025,426006904.02716124,-425777295.3529464,0.26666666666666666
conditional,Venture Capital,A,6-8y,2,1356108.2349923565,621804.0082965043,-489363.33196480415,0.7333333333333333,8910809.27786552,3513659.9813736295,-243773.00441945644,0.7,28606806.665993247,26209226.719097815,-20625794.02063974,0.26666666666666666
conditional,Venture Capital,A,8-10y,4,2704866.9227902954,1571802.6305507037,1544668.7651212972,0.6,9957091.071500104,6618646.289993797,-324562.85425760224,0.5,26449128.948003013,22705582.461437576,-21931794.61179017,0.5333333333333333
conditional,Venture Capital,A,nan,1,3510415.1647040364,2121729.733901074,-864717.2028642633,0.7666666666666667,3026028.712049387,948419.2484876687,-63997.81248123019,0.9666666666666667,59842791.21979705,48330686.12285419,-47741709.45339577,0.23333333333333334
conditional,Venture Capital,B,0-2y,26,14447613.582110433,9680559.092659576,-1341640.0535156257,0.7,23761195.20875439,17375263.412551425,6734308.956501267,0.6666666666666666,601019495.5257624,506471269.9131548,-505901776.37080723,0.1
conditional,Venture Capital,B,10-15y,5,325019.23776820477,207005.58121333038,180476.43228141736,0.4666666666666667,12874799.282409942,5950677.699724091,-2754450.5094282003,0.4666666666666667,14586973.124328613,9946345.458467335,-5849940.863057552,0.8
conditional,Venture Capital,B,2-4y,18,5898995.684404249,4027565.818366515,-1186506.3187127043,0.7,21356659.404978573,16393838.264518468,2580683.632974149,0.6333333333333333,604373736.5993934,542016744.5771037,-542016744.5771037,0.03333333333333333
conditional,Venture Capital,B,4-6y,10,1361643.8983677912,994594.38688568,-446955.5105538362,0.7,9337060.160522798,6792594.034861843,-61324.51774464982,0.7666666666666667,201112779.24996322,172698300.82928577,-172698300.82928577,0.1
conditional,Venture Capital,B,6-8y,7,1183195.2960290646,725142.1046789751,-186104.94006712738,0.6666666666666666,13492111.214690564,9130591.996570557,2123067.964938658,0.7,138104772.0596883,124295619.37095709,-124295619.37095709,0.13333333333333333
conditional,Venture Capital,B,8-10y,3,541237.2411101445,208188.49242811423,-204717.76199482646,0.7666666666666667,2863858.2667650552,1170599.8228358761,-128102.41350863811,0.8,14532969.688938376,13742009.589962749,-13419702.96377595,0.03333333333333333
conditional,Venture Capital,B,nan,4,2788884.948643815,2011314.2264891875,-1166599.2625959958,0.43333333333333335,1676147.8293511942,885388.1925012381,544523.902702931,0.8666666666666667,47558857.60183402,40583589.98152367,-40432607.73076557,0.23333333333333334
conditional,Venture Capital,C,0-2y,14,4566724.398238946,2865189.5005266056,-750007.4376326541,0.8333333333333334,9730381.164741417,5973262.631803074,2785520.5039375224,0.8,212457762.50267705,187879053.92060736,-187879053.92060736,0.06666666666666667
conditional,Venture Capital,C,10-15y,4,838487.4824608598,586884.1615558679,578857.7115541475,0.5333333333333333,4118688.495076196,2655414.3385659754,-944357.0898965558,0.7,14994279.396088626,12513601.995453278,9223193.302035397,0.3333333333333333
conditional,Venture Capital,C,2-4y,12,4390468.092806028,3070438.9346521357,-1249199.9038941565,0.6666666666666666,15751585.293726966,7992122.676713553,-5662983.397639236,0.6666666666666666,244788903.23250178,224910082.92996952,-224910082.92996952,0.0
conditional,Venture Capital,C,4-6y,9,1554078.9250225679,1112937.0071908357,-592361.446316702,0.6333333333333333,36226364.41175472,19036308.969257142,-17154026.073579118,0.4,245739493.66128018,201527568.3477302,-201527568.3477302,0.0
conditional,Venture Capital,C,6-8y,4,818993.2221339216,556624.3688027733,160056.2804573032,0.7,3898334.959399022,2632268.1722954083,-62996.906185272266,0.6333333333333333,11416167.59762309,9420273.795484086,8603580.696743874,0.8666666666666667
conditional,Venture Capital,C,8-10y,1,35175.043824111344,14479.241067959456,-10968.723149908024,0.8333333333333334,233220.43993653698,51534.34005127291,-34713.72060206043,0.9,1206049.7719923137,891653.2816869556,-176810.00698637796,0.0
conditional,Venture Capital,C,nan,7,6625156.261673625,4926621.79876173,-2694287.352832568,0.5333333333333333,4828820.040650321,2026302.1588288757,1422090.0454021222,0.8333333333333334,101641623.09221461,81679241.5341166,-76143880.89076872,0.3
conditional,Venture Capital,D,0-2y,2,3670847.8632688965,2072710.218109942,60579.92131274894,0.4,1521976.2610872106,916698.9819609945,656224.7121364757,0.8,30433471.324860647,25025079.408657335,-16005340.789934518,0.23333333333333334
conditional,Venture Capital,D,10-15y,1,11087.545550122568,8442.77101190316,8442.77101190316,0.8666666666666667,87011.0763658013,46387.87208541048,12362.791363665085,0.9333333333333333,926012.9743094342,861177.8380746417,858159.7363885455,0.23333333333333334
conditional,Venture Capital,D,6-8y,3,1195295.505631801,703313.3183839561,267060.6136814443,0.6666666666666666,2908876.0550548844,1464466.1855856485,690075.0136854392,0.8333333333333334,15191517.371157471,13000094.648310136,-6199720.578113393,0.4
conditional,Venture Capital,D,8-10y,1,44279.79995567541,27655.85500057197,5322.130689843286,0.8666666666666667,67342.18191695871,36075.40178313796,23696.233116471292,0.9666666666666667,690002.7306739654,572979.3009090857,-392452.39708550944,0.43333333333333335
conditional,Venture Capital,D,nan,5,2000151.41323835,1409367.4718547354,-415774.5885382902,0.6333333333333333,937531.8483520574,492548.74454597634,357054.52265508374,0.9,28078070.489728406,23158001.154032093,-17509630.18994914,0.5
